timestamp,VOC,CH4,SMOKE,CO,ODOR,label
61760,325,416,148,80,594,cola
61776,325,415,148,80,594,cola
61792,324,415,149,80,594,cola
61808,324,417,150,81,594,cola
61824,324,419,151,82,595,cola
61840,324,423,152,82,595,cola
61856,324,426,153,83,594,cola
61872,323,427,154,83,594,cola
61888,323,429,154,84,593,cola
61904,323,432,155,84,592,cola
61920,323,435,156,84,590,cola
61936,323,438,157,84,588,cola
61952,323,440,158,83,587,cola
61968,323,441,158,83,585,cola
61984,323,444,159,83,584,cola
62000,324,448,160,82,583,cola
62016,326,455,160,81,582,cola
62032,330,462,160,80,580,cola
62048,336,467,160,79,578,cola
62064,341,469,160,79,577,cola
62080,345,470,160,78,576,cola
62096,349,468,159,78,575,cola
62112,351,466,159,78,575,cola
62128,353,465,159,77,574,cola
62144,354,465,158,77,574,cola
62160,355,464,158,76,574,cola
62176,355,465,158,76,574,cola
62192,354,465,157,76,574,cola
62208,353,461,157,76,574,cola
62224,352,456,157,76,574,cola
62240,351,451,156,76,574,cola
62256,350,448,156,76,574,cola
62272,349,445,156,77,575,cola
62288,348,442,156,77,574,cola
62304,348,437,156,78,575,cola
62320,348,434,155,78,574,cola
62336,348,436,155,78,574,cola
62352,348,440,155,78,574,cola
62368,348,446,155,78,574,cola
62384,349,453,156,79,573,cola
62400,350,460,156,78,572,cola
62416,350,464,156,78,572,cola
62432,350,468,156,77,572,cola
62448,349,469,156,77,572,cola
62464,348,469,156,77,572,cola
62480,347,467,156,77,571,cola
62496,346,463,156,77,570,cola
62512,345,458,157,77,570,cola
62528,345,453,157,78,569,cola
62544,344,447,157,78,569,cola
62560,343,442,158,79,569,cola
62576,342,436,158,80,569,cola
62592,341,432,158,80,569,cola
62608,340,430,158,81,570,cola
62624,340,430,158,81,570,cola
62640,340,432,159,81,570,cola
62656,340,437,159,82,570,cola
62672,341,444,160,81,570,cola
62688,342,452,160,81,570,cola
62704,344,459,160,80,570,cola
62720,347,465,160,80,569,cola
62736,351,468,160,80,569,cola
62752,355,471,160,79,567,cola
62768,359,473,160,78,565,cola
62784,361,472,159,77,564,cola
62800,359,466,158,77,563,cola
62816,356,460,158,76,562,cola
62832,354,456,158,75,561,cola
62848,353,454,158,75,561,cola
62864,352,451,157,74,561,cola
62880,352,449,157,74,561,cola
62896,353,446,156,74,561,cola
62912,352,444,156,74,560,cola
62928,352,445,156,73,560,cola
62944,353,449,156,73,559,cola
62960,355,454,156,73,557,cola
62976,356,452,155,72,556,cola
62992,354,445,155,72,555,cola
63008,352,441,154,73,555,cola
63024,352,441,154,73,554,cola
63040,352,445,153,73,554,cola
63056,354,446,154,74,554,cola
63072,355,447,153,75,553,cola
63088,356,447,152,74,553,cola
63104,356,448,152,74,553,cola
63120,356,449,151,74,553,cola
63136,357,449,151,74,552,cola
63152,357,450,151,74,552,cola
63168,356,451,150,74,552,cola
63184,355,453,150,74,552,cola
63200,354,453,150,74,552,cola
63216,354,454,150,75,552,cola
63232,355,456,151,75,552,cola
63248,358,458,151,75,552,cola
63264,360,460,151,75,551,cola
63280,362,462,150,75,551,cola
63296,363,462,150,75,552,cola
63312,362,463,151,75,552,cola
63328,360,463,151,76,553,cola
63344,358,456,151,77,554,cola
63360,356,445,151,78,554,cola
63376,353,437,151,79,556,cola
63392,351,429,150,79,558,cola
63408,349,426,149,80,559,cola
63424,348,428,148,80,561,cola
63440,347,431,148,80,563,cola
63456,346,431,148,80,564,cola
63472,345,432,148,80,565,cola
63488,345,434,147,80,566,cola
63504,345,437,147,81,566,cola
63520,345,441,148,81,566,cola
63536,346,445,148,81,566,cola
63552,347,448,148,80,566,cola
63568,349,453,149,80,565,cola
63584,352,459,149,79,565,cola
63600,354,463,149,79,564,cola
63616,357,465,149,79,564,cola
63632,360,465,149,78,564,cola
63648,362,463,149,78,563,cola
63664,364,462,149,78,562,cola
